external_id,title,short_title,description,category,tags,start_datetime,end_datetime,venue_title,venue_address,venue_lat,venue_lon,price_min,price_raw,is_free,age_restriction,image_url,site_url,source,parsed_at
,MedioModo-Фест,MedioModo-Фест,"Купить билеты на MedioModo-Фест в городе Санкт-Петербург, КЦ Петроконгресс, Лодейнопольская улица, 5. Начало 15 ноября 2026, цена — от 3300₽ до 5000₽.",festival,,15 ноября 2026,,,,,,3300,от 3300 ₽,False,6+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/mediomodo-fest-317053/og.png,https://kaverafisha.ru/saint-petersburg/events/mediomodo-fest-317053,kaver,2026-07-12 00:22:53
,Сайкл-фестиваль на корабле «Аврора»,Сайкл-фестиваль на корабле «Аврора»,"Купить билеты на Сайкл-фестиваль на корабле «Аврора» в городе Санкт-Петербург, Петровская набережная. Начало 12 июля 2026, цена — от 6500₽ до 9000₽.",festival,,12 июля 2026,,,набережная Начало: 12 июля 2026 в 08:45 Завершение: 12 июля,,,6500,от 6500 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/sayykl-festival-na-korable-avrora-316478/og.png,https://kaverafisha.ru/saint-petersburg/events/sayykl-festival-na-korable-avrora-316478,kaver,2026-07-12 00:22:56
,Арт-маркет «Горчица»,Арт-маркет «Горчица»,"Купить билеты на Арт-маркет «Горчица» в городе Санкт-Петербург, Лодейнопольская улица, 5. Начало 12 июля 2026, цена — 300₽.",festival,,12 июля 2026,,,,,,1500,от 1500 ₽,False,0+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/art-market-gorchitsa-317066/og.png,https://kaverafisha.ru/saint-petersburg/events/art-market-gorchitsa-317066,kaver,2026-07-12 00:22:58
,Выставка Планета К-30,Выставка Планета К-30,"Купить билеты на Планета К-30 в городе Санкт-Петербург, улица Красного Текстильщика, 10-12АШ. Начало 10 июля 2026, цена — 5800₽.",festival,,10 июля 2026,,К-30,"улица Красного Текстильщика, 10",,,1500,от 1500 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/festival-planeta-k-30-272474/og.png,https://kaverafisha.ru/saint-petersburg/events/festival-planeta-k-30-272474,kaver,2026-07-12 00:23:00
,Подмост Фест,Подмост Фест,"Купить билеты на Подмост Фест в городе Санкт-Петербург, Лиговский 50 корпус 16. Начало 11 июля 2026, цена — от 0₽ до 300₽.",festival,,11 июля 2026,,ИОНОТЕКА,,,,0,,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/podmost-fest-317029/og.png,https://kaverafisha.ru/saint-petersburg/events/podmost-fest-317029,kaver,2026-07-12 00:23:03
,Авторские штучки,Авторские штучки,"Купить билеты на Авторские штучки в городе Санкт-Петербург, Инженерная улица, 13. Начало 11 июля 2026, цена — Бесплатно.",festival,,11 июля 2026,,,,,,900,от 900 ₽,False,0+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/avtorskie-shtuchki-277149/og.png,https://kaverafisha.ru/saint-petersburg/events/avtorskie-shtuchki-277149,kaver,2026-07-12 00:23:05
,Epic Con,Epic Con,"Купить билеты на Epic Con в городе Санкт-Петербург, Кожевенная линия, 40Б. Начало 11 июля 2026, цена — от 2000₽ до 4000₽.",festival,,11 июля 2026,,Севкабель Порт,,,,2000,от 2000 ₽,False,6+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/epic-con-289416/og.png,https://kaverafisha.ru/saint-petersburg/events/epic-con-289416,kaver,2026-07-12 00:23:08
,Флаувау Маркет,Флаувау Маркет,"Купить билеты на Флаувау Маркет в городе Санкт-Петербург, Кожевенная линия, 40Б. Начало 11 июля 2026, цена — Бесплатно.",festival,,11 июля 2026,,Севкабель Порт,,,,900,от 900 ₽,False,0+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/flauvau-market-316972/og.png,https://kaverafisha.ru/saint-petersburg/events/flauvau-market-316972,kaver,2026-07-12 00:23:10
,Фестиваль «Инди на воде»,Фестиваль «Инди на воде»,"Купить билеты на Фестиваль «Инди на воде» в городе Санкт-Петербург, Университетская набережная 13. Начало 20 июня 2026, цена — 2000₽.",festival,,20 июня 2026,,,набережная 13 Начало: 20 июня 2026 в 20:30 Завершение: 31 ию,,,1500,от 1500 ₽,False,6+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/festival-indi-na-vode-316375/og.png,https://kaverafisha.ru/saint-petersburg/events/festival-indi-na-vode-316375,kaver,2026-07-12 00:23:12
,КвАРТал. Вечный маркет,КвАРТал. Вечный маркет,"Купить билеты на КвАРТал. Вечный маркет в городе Санкт-Петербург, Кожевенная линия, 40Б. Начало 22 мая 2026, цена — Бесплатно.",festival,,22 мая 2026,,Севкабель Порт,,,,900,от 900 ₽,False,0+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/kvartal-vechnyy-market-286946/og.png,https://kaverafisha.ru/saint-petersburg/events/kvartal-vechnyy-market-286946,kaver,2026-07-12 00:23:14
,Гаражная распродажа,Гаражная распродажа,"Купить билеты на Гаражная распродажа в городе Санкт-Петербург, Кожевенная линия, 40Б. Начало 17 июля 2026, цена — Бесплатно.",festival,,17 июля 2026,,Севкабель Порт,,,,900,от 900 ₽,False,0+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/garage-sail-278872/og.png,https://kaverafisha.ru/saint-petersburg/events/garage-sail-278872,kaver,2026-07-12 00:23:16
,Страсть Фест,Страсть Фест,"Купить билеты на Страсть Фест в городе Санкт-Петербург, Лиговский 50 корпус 16. Начало 17 июля 2026, цена — Бесплатно.",festival,,17 июля 2026,,ИОНОТЕКА,,,,1500,от 1500 ₽,False,16+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/strast-fest-315308/og.png,https://kaverafisha.ru/saint-petersburg/events/strast-fest-315308,kaver,2026-07-12 00:23:19
,Выставка Так не бывает,Выставка Так не бывает,"Купить билеты на Так не бывает в городе Санкт-Петербург, Лиговский проспект 52Б, ворота 40. Начало 12 мая 2026, цена — от 400₽ до 600₽.",exhibition,,12 мая 2026,,,проспект 52Б,,,400,от 400 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/tak-ne-byvaet-315145/og.png,https://kaverafisha.ru/saint-petersburg/events/tak-ne-byvaet-315145,kaver,2026-07-12 00:23:22
,Выставка Корпорация счастья,Выставка Корпорация счастья,"Купить билеты на Корпорация счастья в городе Санкт-Петербург, Средний проспект Васильевского острова, 93. Начало 27 июня 2026, цена — 300₽.",exhibition,,27 июня 2026,,Центр Современного Искусства им. Сергея Курехина,"проспект Васильевского острова, 93",,,400,от 400 ₽,False,16+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/korporatsiya-schastya-316576/og.png,https://kaverafisha.ru/saint-petersburg/events/korporatsiya-schastya-316576,kaver,2026-07-12 00:23:24
,"Выставка Мама, я тебя прощаю","Выставка Мама, я тебя прощаю","Купить билеты на Мама, я тебя прощаю в городе Санкт-Петербург, Гороховая улица, 49Б. Начало 4 июля 2026, цена — 1000₽.",exhibition,,4 июля 2026,,Путь,,,,400,от 400 ₽,False,16+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/mama-ya-tebya-proshayu-294585/og.png,https://kaverafisha.ru/saint-petersburg/events/mama-ya-tebya-proshayu-294585,kaver,2026-07-12 00:23:26
,Выставка Тело,Выставка Тело,"Купить билеты на Тело в городе Санкт-Петербург, Гороховая улица, 49Б. Начало 3 июля 2026, цена — 1000₽.",exhibition,,3 июля 2026,,Путь,,,,1500,от 1500 ₽,False,16+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/telo-301749/og.png,https://kaverafisha.ru/saint-petersburg/events/telo-301749,kaver,2026-07-12 00:23:28
,"Выставка Папа, давай поговорим","Выставка Папа, давай поговорим","Купить билеты на Папа, давай поговорим в городе Санкт-Петербург, Гороховая улица, 49Б. Начало 5 июля 2026, цена — 1000₽.",exhibition,,5 июля 2026,,Путь,,,,400,от 400 ₽,False,16+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/papa-davayy-pogovorim-294586/og.png,https://kaverafisha.ru/saint-petersburg/events/papa-davayy-pogovorim-294586,kaver,2026-07-12 00:23:30
,Выставка Траектории интервалов,Выставка Траектории интервалов,"Купить билеты на Траектории интервалов в городе Санкт-Петербург, Цех, Кожевенная 40 к.1. Начало 13 марта 2026, цена — от 900₽ до 1200₽.",exhibition,,13 марта 2026,,Севкабель Порт,,,,900,от 900 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/traektorii-intervalov-312318/og.png,https://kaverafisha.ru/saint-petersburg/events/traektorii-intervalov-312318,kaver,2026-07-12 00:23:33
,Выставка Вечер запрещённой поэзии,Выставка Вечер запрещённой поэзии,"Купить билеты на Вечер запрещённой поэзии в городе Санкт-Петербург, Бар «Современник», ул. Некрасова, дом 1/38. Начало 13 июля 2026, цена — 1500₽.",exhibition,,13 июля 2026,,,ул. Некрасова,,,900,от 900 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/vecher-zapreshennoyy-poezii-309825/og.png,https://kaverafisha.ru/saint-petersburg/events/vecher-zapreshennoyy-poezii-309825,kaver,2026-07-12 00:23:35
,Выставка Булгаков. Мастер и Маргарита,Выставка Булгаков. Мастер и Маргарита,"Купить билеты на Булгаков. Мастер и Маргарита в городе Санкт-Петербург, Бар «Современник», ул. Некрасова, дом 1/38. Начало 14 июля 2026, цена — от 600₽ до 2000₽.",exhibition,,14 июля 2026,,,ул. Некрасова,,,600,от 600 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/bulgakov-master-i-margarita-315957/og.png,https://kaverafisha.ru/saint-petersburg/events/bulgakov-master-i-margarita-315957,kaver,2026-07-12 00:23:37
,"Выставка Богемный арт-бранч: «Юсуповы: как стать иконами стиля, бизнеса и политики в Российской империи»","Выставка Богемный арт-бранч: «Юсуповы: как стать иконами стиля, бизнеса и политики в Российской импе","Купить билеты на Богемный арт-бранч: «Юсуповы: как стать иконами стиля, бизнеса и политики в Российской империи» в городе Санкт-Петербург, Медведь, Большая Конюшенная улица, 27. Начало 19 июля 2026, цена — 3600₽.",exhibition,,19 июля 2026,,,,,,1500,от 1500 ₽,False,16+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/bogemnyy-art-branch-yusupovy-kak-stat-ikonami-stilya-biznesa-i-politiki-v-rossiyyskoyy-imperii-316810/og.png,https://kaverafisha.ru/saint-petersburg/events/bogemnyy-art-branch-yusupovy-kak-stat-ikonami-stilya-biznesa-i-politiki-v-rossiyyskoyy-imperii-316810,kaver,2026-07-12 00:23:39
,Спектакль Хрустальный мир,Спектакль Хрустальный мир,"Купить билеты на Хрустальный мир в городе Санкт-Петербург, Московский проспект 107 к.5. Начало 24 августа 2026, цена — от 2100₽ до 2600₽.",exhibition,,24 августа 2026,,Театральная площадка «Скороход»,проспект 107 к.5 Начало: 24 августа 2026 в 19:00 Завершени,,,2100,от 2100 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/hrustalnyy-mir-274103/og.png,https://kaverafisha.ru/saint-petersburg/events/hrustalnyy-mir-274103,kaver,2026-07-12 00:23:41
,Зеркальная выставка,Зеркальная выставка,"Купить билеты на Зеркальная выставка в городе Санкт-Петербург, ул. Маяковского, 52. Начало 8 апреля 2026, цена — Бесплатно.",exhibition,,8 апреля 2026,,Бар «Кабаре ШУМ»,"ул. Маяковского, 52",,,1500,от 1500 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/zerkalnaya-vystavka-313663/og.png,https://kaverafisha.ru/saint-petersburg/events/zerkalnaya-vystavka-313663,kaver,2026-07-12 00:23:44
,Выставка Мифы 2.0,Выставка Мифы 2.0,"Купить билеты на Мифы 2.0 в городе Санкт-Петербург, Bogi Gallery, Гороховая улица, 64, 2 этаж. Начало 28 июня 2026, цена — 200₽.",exhibition,,28 июня 2026,,,,,,400,от 400 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/mify-20-316709/og.png,https://kaverafisha.ru/saint-petersburg/events/mify-20-316709,kaver,2026-07-12 00:23:46
,Выставка Любовь —  это...,Выставка Любовь —  это...,"Купить билеты на Любовь —  это... в городе Санкт-Петербург, Гороховая улица, 49Б. Начало 3 июля 2026, цена — 1000₽.",exhibition,,3 июля 2026,,Путь,,,,400,от 400 ₽,False,16+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/lyubov-eto-313073/og.png,https://kaverafisha.ru/saint-petersburg/events/lyubov-eto-313073,kaver,2026-07-12 00:23:48
,Выставка Голова современника. Художники из коллекции,Выставка Голова современника. Художники из коллекции,"Купить билеты на Голова современника. Художники из коллекции в городе Санкт-Петербург, Литейный пр., 62. Начало 12 мая 2026, цена — от 650₽ до 1250₽.",exhibition,,12 мая 2026,,Third Place,,,,650,от 650 ₽,False,16+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/golova-sovremennika-hudozhniki-iz-kollektsii-315147/og.png,https://kaverafisha.ru/saint-petersburg/events/golova-sovremennika-hudozhniki-iz-kollektsii-315147,kaver,2026-07-12 00:23:50
,Индивидуальный мастер-класс «Картина вином»,Индивидуальный мастер-класс «Картина вином»,"Купить билеты на Индивидуальный мастер-класс «Картина вином» в городе Санкт-Петербург, Арт Студия 8, улица Константина Заслонова, 2. Начало 14 апреля 2026, цена — 5000₽.",education,,14 апреля 2026,,,"улица Константина Заслонова, 2",,,1500,от 1500 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/individualnyy-master-klass-kartina-vinom-312044/og.png,https://kaverafisha.ru/saint-petersburg/events/individualnyy-master-klass-kartina-vinom-312044,kaver,2026-07-12 00:23:52
,Арт-свидание «Картина за 3 часа при свечах»,Арт-свидание «Картина за 3 часа при свечах»,"Купить билеты на Арт-свидание «Картина за 3 часа при свечах» в городе Санкт-Петербург, Арт Студия 8, улица Константина Заслонова, 2. Начало 17 июня 2026, цена — 8500₽.",education,,17 июня 2026,,,"улица Константина Заслонова, 2",,,1500,от 1500 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/art-svidanie-kartina-za-3-chasa-pri-svechah-312040/og.png,https://kaverafisha.ru/saint-petersburg/events/art-svidanie-kartina-za-3-chasa-pri-svechah-312040,kaver,2026-07-12 00:23:55
,Кольцо или кулон в технике мягкая пайка (soft soldering),Кольцо или кулон в технике мягкая пайка (soft soldering),"Купить билеты на Кольцо или кулон в технике мягкая пайка (soft soldering) в городе Санкт-Петербург, Art Studio 8, улица Константина Заслонова, 2. Начало 17 июня 2026, цена — 5000₽.",education,,17 июня 2026,,,"улица Константина Заслонова, 2",,,1500,от 1500 ₽,False,16+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/koltso-ili-kulon-v-tehnike-myagkaya-payyka-soft-soldering-312915/og.png,https://kaverafisha.ru/saint-petersburg/events/koltso-ili-kulon-v-tehnike-myagkaya-payyka-soft-soldering-312915,kaver,2026-07-12 00:23:57
,Мастер-класс по керамике в саду особняка,Мастер-класс по керамике в саду особняка,"Купить билеты на Мастер-класс по керамике в саду особняка в городе Санкт-Петербург, ул. Восстания, 45. Начало 18 июля 2026, цена — 3500₽.",education,,18 июля 2026,,Особняк И. Мясникова,"ул. Восстания, 45",,,1500,от 1500 ₽,False,6+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/master-klass-po-keramike-v-sadu-osobnyaka-317041/og.png,https://kaverafisha.ru/saint-petersburg/events/master-klass-po-keramike-v-sadu-osobnyaka-317041,kaver,2026-07-12 00:23:59
,Скрижали адаптивности,Скрижали адаптивности,"Купить билеты на Скрижали адаптивности в городе Санкт-Петербург, Гороховая улица, 47. Начало 20 июля 2026, цена — от 1500₽ до 2250₽.",education,,20 июля 2026,,ВСмысле,,,,1500,от 1500 ₽,False,18+,https://kaverafisha.ru/__og-image__/image/saint-petersburg/events/skrizhali-adaptivnosti-317201/og.png,https://kaverafisha.ru/saint-petersburg/events/skrizhali-adaptivnosti-317201,kaver,2026-07-12 00:24:01
